place_geoid,place_name,state_code,lsad_code,functional_status,land_area_sqm,water_area_sqm,latitude,longitude,source_vintage,source_url,active_listing_count,latest_listing_date
0668000,San Jose city,CA,25,A,460869253,8091031,37.296011,-121.814552,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,91,2026-07-04
4805000,Austin city,TX,25,A,841779281,16983143,30.298622,-97.754134,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,71,2026-07-04
1714000,Chicago city,IL,25,A,589864490,17575510,41.837045,-87.684939,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,63,2026-07-06
5363000,Seattle city,WA,25,A,217623548,150342251,47.619335,-122.351538,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,58,2026-07-04
1304000,Atlanta city,GA,25,A,350365525,2788718,33.762909,-84.422675,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,40,2026-07-03
2507000,Boston city,MA,25,A,125203166,106897561,42.338551,-71.018253,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,33,2026-07-04
1150000,Washington city,DC,25,N,158318961,18706999,38.904243,-77.016524,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,31,2026-07-04
5357535,Redmond city,WA,25,A,42979343,1732419,47.677924,-122.115336,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,29,2026-07-04
4835000,Houston city,TX,25,A,1659712399,80864235,29.785743,-95.388806,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,25,2026-07-06
4819000,Dallas city,TX,25,A,879780729,113870750,32.793333,-96.766513,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,22,2026-07-03
5305210,Bellevue city,WA,25,A,86702563,10433380,47.597837,-122.15648,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,22,2026-07-04
